"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"XPLUSDT","Cross","Long","0.99072000","1.06054000","2000.00000000","2500.00000000","174.55000000","2025-09-30 14:57:08.730","2025-10-01 10:00:04.117","Closed"
"ETHFIUSDC","Cross","Long","1.46254000","1.52540000","2000.00000000","2000.00000000","125.72000000","2025-09-26 02:23:07.548","2025-10-02 09:32:03.801","Closed"
"PUMPUSDT","Cross","Long","0.00520000","0.00650400","200000.00000000","200000.00000000","260.75000000","2025-09-26 02:19:17.868","2025-10-01 09:49:51.022","Closed"
"ETHFIUSDT","Cross","Long","1.48974023","1.57310000","800.00000000","800.00000000","66.68782991","2025-09-26 02:15:45.968","2025-09-27 16:38:46.562","Closed"
"DOGEUSDC","Cross","Long","0.22700000","0.24263000","10000.00000000","10000.00000000","156.30000000","2025-09-26 01:29:12.072","2025-10-01 10:19:08.960","Closed"
"1000BONKUSDC","Cross","Long","0.02289467","0.00902100","150000.00000000","150000.00000000","-2081.05000000","2025-09-21 12:06:36.704","2025-10-10 21:19:53.938","Closed"
"1000PEPEUSDC","Cross","Long","0.00999600","0.00437300","1500000.00000000","1500000.00000000","-8434.95000000","2025-09-20 01:31:53.347","2025-10-10 21:19:53.938","Closed"
"WIFUSDC","Cross","Long","0.76660000","0.31200000","5000.00000000","5000.00000000","-2273.00000000","2025-09-13 01:38:29.046","2025-10-10 21:19:53.938","Closed"
"ENAUSDC","Cross","Long","0.64503846","0.20560000","13000.00000000","13000.00000000","-5712.70000000","2025-09-11 01:17:25.307","2025-10-10 21:19:53.938","Closed"
"DOGEUSDC","Cross","Long","0.24080000","0.24702500","10000.00000000","10000.00000000","62.25000000","2025-09-09 23:55:15.946","2025-09-11 12:31:04.442","Closed"
"SKYUSDT","Cross","Long","0.06525000","0.04766600","200000.00000000","200000.00000000","-3516.87955000","2025-09-09 23:21:27.104","2025-10-10 21:18:53.695","Closed"
"ETHUSDC","Cross","Long","4325.00000000","4380.00000000","1.00000000","1.00000000","55.00000000","2025-09-09 13:19:16.093","2025-09-10 12:31:03.233","Closed"
"ETHUSDT","Cross","Long","4309.53000000","4362.00000000","1.00000000","1.00000000","52.47000000","2025-09-09 05:05:07.744","2025-09-09 08:00:39.093","Closed"
"EPTUSDT","Cross","Long","0.00496501","0.00499900","1000000.00000000","500000.00000000","16.99363003","2025-09-09 01:47:45.419",,"Partially Closed"
"EPTUSDT","Cross","Long","0.00496501","0.00531600","1000000.00000000","718750.00000000","252.17834317","2025-09-09 01:47:45.419",,"Partially Closed"
"EPTUSDT","Cross","Long","0.00496501","0.00571700","1000000.00000000","1000000.00000000","752.44906006","2025-09-09 01:47:45.419","2025-10-06 13:48:32.824","Closed"
"EPTUSDT","Cross","Long","0.00496500","0.00499900","1000000.00000000","500000.00000000","16.99363003","2025-09-09 01:47:45.419",,"Partially Closed"
"EPTUSDT","Cross","Long","0.00496501","0.00517900","1000000.00000000","625000.00000000","133.86703754","2025-09-09 01:47:45.419",,"Partially Closed"
"1000PEPEUSDC","Cross","Long","0.01058400","0.01075300","300000.00000000","300000.00000000","50.61000000","2025-08-19 09:27:16.202","2025-09-12 01:01:22.289","Closed"
"PENGUUSDT","Cross","Long","0.03727132","0.03738800","50000.00000000","50000.00000000","5.80917298","2025-08-13 00:40:47.077","2025-09-12 07:18:00.599","Closed"
"1000BONKUSDT","Cross","Long","0.02379512","0.02542000","300000.00000000","300000.00000000","487.46356400","2025-08-12 15:36:54.325","2025-09-12 07:17:34.097","Closed"
"WIFUSDT","Cross","Long","0.84205000","0.27560000","2000.00000000","2000.00000000","-1132.90000000","2025-08-10 04:05:43.594","2025-10-10 21:19:53.938","Closed"
"CRVUSDT","Cross","Long","0.78440000","0.30700000","5000.00000000","5000.00000000","-2387.00000000","2025-08-09 08:31:05.619","2025-10-10 21:19:53.938","Closed"
"BBUSDT","Cross","Long","0.10090000","0.19904400","80000.00000000","60000.00000000","5888.62329000","2025-08-01 02:21:50.040",,"Partially Closed"
"BBUSDT","Cross","Long","0.10090000","0.19840800","80000.00000000","80000.00000000","7800.62329000","2025-08-01 02:21:50.040","2025-09-20 02:12:46.519","Closed"
"BBUSDT","Cross","Long","0.10090000","0.19940000","80000.00000000","40000.00000000","3940.00000000","2025-08-01 02:21:50.040",,"Partially Closed"
"UNIUSDT","Cross","Long","10.54150000","11.17100000","400.00000000","400.00000000","251.80000000","2025-07-27 16:41:52.623","2025-08-09 07:36:44.168","Closed"
"BTCUSDT","Cross","Short","106212.72800000","106088.00000000","0.50000000","0.50000000","62.36399995","2025-05-07 01:48:51.781","2025-10-10 21:17:48.603","Closed"
