time,open,high,low,close,Volume
1737124200,58.515,60.41,58.26,59.62,70766122
1737469800,59.87,61.08,58.41,60.42,63410700
1737556200,59.55,59.86,58.76,59.38,37667944
1737642600,58.23,60.82,58.16,58.79,118197641
1737729000,59.92,61.06,59.56,59.7,46082299
1737988200,57.32,58.2,56.15,57.67,61243064
1738074600,58.34,59.06,57.545,57.58,30257022
1738161000,58.12,59.67,57.66,59.34,38059401
1738247400,59.73,60.67,59.6,59.72,33479299
1738333800,59.61,60.4,57.65,57.71,41862067
1738593000,53.97,58.135,53.69,57.58,73864866
1738679400,56.51,57.4252,55.73,56.13,48597673
1738765800,56.21,56.47,54.87,55.33,24705047
1738852200,55.93,56.315,54.4101,55.12,28324404
1738938600,56.74,57.05,54.36,54.47,41477251
1739197800,55.61,55.77,55.08,55.38,21331756
1739284200,55.11,55.36,53.87,54.11,27542729
1739370600,53.83,55.56,53.7,55.16,34445186
1739457000,54.57,54.88,54.12,54.74,24211237
1739543400,54.94,56.36,54.75,55.33,27505401
1739889000,54.9,54.99,53.03,53.51,38190453
1739975400,54.83,55,54.22,54.65,29062141
1740061800,55.63,56.2,55.01,56.04,25814891
1740148200,56.39,56.55,53.79,53.92,48588622
1740407400,54.23,54.47,53.19,53.41,38111606
1740493800,50.655,50.66,48.67,50.03,103835173
1740580200,48.71,50.2299,46.69,47.96,86382553
1740666600,49.01,49.09,46.9,47.35,43346479
1740753000,46.54,48.44,46.065,47.9,59648323
1741012200,52.97,53.035,48.36,48.9,92274132
1741098600,47.03,50.56,46.28,49.39,72360145
1741185000,51.01,51.5,49.76,51.44,49050731
1741271400,51.155,52.02,49.88,50.64,50275047
1741357800,50.67,51.82,49.13,49.43,59351095
1741613400,46.99,47.12,43.95,44.91,85278750
1741699800,46.3,47.55,44.885,47.24,48562703
1741786200,47.38,47.645,45.795,47.15,32196179
1741872600,47.13,47.28,45.38,45.52,42870382
1741959000,47.385,48.555,46.99,48.14,43770196
1742218200,47.16,48.235,46.87,48.06,28998279
1742304600,46.825,46.92,46.09,46.81,33645549
1742391000,47.74,48.94,47.54,48.61,40812831
1742477400,48.39,49.225,47.49,47.85,30509054
1742563800,47.56,47.99,47.25,47.7,18141541
1742823000,49.64,50.5,49.59,50.18,29833259
1742909400,49.86,50.25,49.5,50.14,21846271
1742995800,49.75,50.02,48.77,49.18,28947990
1743082200,49.08,49.8089,48.795,49.44,33003960
1743168600,48.47,48.64,47.43,47.56,37749356
1743427800,46.88,47.69,46.341,46.81,24010791
1743514200,47.53,48.65,46.842,48.3,30139681
1743600600,48.13,49.715,48.04,49.41,38654714
1743687000,46.59,47.04,46.11,46.57,40675998
1743773400,46.94,48.11,46.43,47.71,68668830
1744032600,43.68,46.16,42.98,44.27,107582055
1744119000,45.54,45.65,43.255,43.59,50053346
1744205400,43.58,47.19,43.53,46.83,85507939
1744291800,46.41,46.49,44.505,45.17,45745683
1744378200,46.63,47.8869,46.18,47.67,54223514
1744637400,48.29,48.81,47.55,48.28,32514400
1744723800,48.8,49.19,47.68,47.74,24001676
1744810200,47.59,48.64,47.355,47.96,27463001
1744896600,48.15,48.65,47.615,48.26,23963579
1745242200,49.63,50.42,49.095,49.72,57126893
1745328600,51,52.27,50.88,52.08,83738112
1745415000,53.46,53.84,52.27,53.2,60960489
1745501400,52.75,53.31,52.65,53.26,28476587
1745587800,53.62,54.58,53.48,54.27,48230982
1745847000,54.09,54.17,53.12,53.88,34157234
1745933400,53.95,54.32,53.755,54.22,31214047
1746019800,53.75,53.765,52.76,53.51,34189557
1746106200,54.99,55.505,54.52,54.95,52802615
1746192600,55.16,55.74,54.9723,55.19,43449009
1746451800,53.52,53.97,53.18,53.63,24957666
1746538200,53.245,54.11,53.02,53.97,20578709
1746624600,54.99,55.455,54.45,54.68,29902962
1746711000,56.54,57.835,56.31,57.62,55449010
1746797400,58.56,59.0069,58.155,58.66,36503678
1747056600,59.18,59.48,57.23,57.88,44350645
1747143000,58.98,59.75,58.4571,59.62,38311997
1747229400,59.18,59.35,58.32,58.74,38499448
1747315800,58.28,59.255,57.62,58.67,33563849
1747402200,58.88,59.5,58.77,59.2,37353625
1747661400,58.29,60.06,58.2101,59.99,50625063
1747747800,59.485,61.05,59.2,60.91,49771135
1747834200,60.54,62.53,60.325,61.79,98801881
1747920600,63.35,63.7,62.81,63.23,66549464
1748007000,61.81,62.605,61.43,61.83,61971386
1748352600,62.84,63.04,61.825,62.5,49538643
1748439000,61.84,62.025,60.76,60.79,44241949
1748525400,61.58,61.61,59.9,59.99,70525244
1748611800,60.045,60.26,58.855,59.46,45680038
1748871000,59.07,59.555,58.88,59.36,30733544
1748957400,59.98,60.7799,59.71,60.4,37381640
1749043800,59.66,60.0035,59.16,59.64,32365259
1749130200,60.15,60.16,57.7,57.87,58411562
1749216600,59.09,59.97,59.0503,59.26,34477637
1749475800,61.13,61.86,60.78,61.77,43950313
1749562200,62.36,62.76,61.55,62.29,32894281
1749648600,62.4,62.79,61.6007,61.84,30336883
1749735000,60.7,61.65,60.52,60.7,36713593
1749821400,59.62,60.295,59.17,59.74,42127815
1750080600,60.6,61.95,60.51,61.8,42415243
1750167000,60.02,60.13,58.69,59.5,53900684
1750253400,59.065,59.9,58.82,58.97,40166415
1750426200,60.27,60.33,58.145,58.67,35261791
1750685400,57.48,58.76,56.625,58.67,63747161
1750771800,59.77,60.47,59.555,60.06,40387207
1750858200,61.33,61.525,60.71,61.275,40812513
1750944600,60.93,61.28,60.565,61.14,29434648
1751031000,60.685,61.25,60.47,60.72,35637887
1751290200,61.27,61.31,60.62,61.21,34173957
1751376600,60.58,60.925,59.825,59.84,35575457
1751463000,61.12,62.47,61.01,62.42,65900246
1751549400,62.21,62.94,62.015,62.19,32662368
1751895000,61.63,61.775,61.04,61.4,37793380
1751981400,61.9,62.105,61.4,61.82,29471541
1752067800,62.29,63.76,61.63,63.58,56974395
1752154200,63.14,64.81,62.8,64.5,84144876
1752240600,66.88,67.235,66.2912,67.21,78031890
1752499800,69.17,69.46,67.735,68.18,68391579
1752586200,66.93,67.4,65.77,66.16,82079384
1752672600,67.55,68.24,67.142,67.83,58926959
1752759000,67.035,68.215,66.82,67.65,45310322
1752845400,67.54,67.8375,66.545,66.68,51010383
1753104600,67.21,67.805,66.23,66.33,47080792
1753191000,67.77,68.39,66.79,67.82,45383901
1753277400,67.11,67.51,66.66,67.29,34878675
1753363800,67.5,67.98,66.965,67.66,33249929
1753450200,66.09,66.57,65.35,66.36,53995727
